Epoch,D_Loss,G_Loss,Feature_Loss,Total_Loss,Real_Mean,Fake_Mean,Real_Std,Fake_Std
0,0.5033245280385017,1.4383114725351334,0.0022896587841387374,1.4406011313192721,0.005449507385492325,18.19008445739746,0.9189562797546387,22.31806755065918
1,0.4158861912786961,2.0803900718688966,0.0025291812838986517,2.082919253152795,0.11035548895597458,17.308137893676758,0.5818833708763123,21.20815658569336
2,0.3977690003812313,2.3449679017066956,0.002069272962398827,2.3470371746690946,0.031619634479284286,14.858847618103027,0.7277621626853943,18.16927146911621
3,0.4070271819829941,2.2114260315895082,0.0013052635651547462,2.212731295154663,-0.04091382026672363,10.7117338180542,0.7783541083335876,13.129206657409668
4,0.4495842635631561,1.7358696579933166,0.0005461963912239299,1.7364158543845405,0.11622613668441772,6.22755241394043,0.7053492665290833,7.769917964935303
5,0.5102122016251087,1.286360901594162,0.00017284044733969494,1.2865337420415017,0.06293255090713501,3.3938944339752197,0.7013624906539917,4.391602516174316
6,0.567793321609497,1.039281302690506,6.083321231926675e-05,1.0393421359028252,0.08979195356369019,1.8673439025878906,0.8618288636207581,2.4631729125976562
7,0.6023576200008393,0.8976484924554825,2.0679829958680784e-05,0.8976691722854412,0.051761504262685776,1.2132573127746582,0.791283905506134,1.6145676374435425
8,0.6210543021559716,0.8282149881124496,1.0754209142760374e-05,0.8282257423215924,0.020991146564483643,0.8703224062919617,0.8955637812614441,1.1931835412979126
9,0.635204441845417,0.7809698909521103,6.644760856033827e-06,0.7809765357129663,0.02560690976679325,0.6017649173736572,0.6233258843421936,0.8186149001121521
10,0.6438576772809028,0.7629873573780059,4.629739987649373e-06,0.7629919871179935,0.003725821850821376,0.45793667435646057,0.8599944710731506,0.6208484172821045
11,0.651427012681961,0.7557337701320648,3.681525845422584e-06,0.7557374516579102,0.09515304118394852,0.3351767361164093,0.5355402231216431,0.4270143508911133
12,0.6562496945261955,0.7591372102499008,2.9527648621296974e-06,0.759140163014763,0.014762957580387592,0.27639561891555786,1.1474732160568237,0.34713926911354065
13,0.6586110532283783,0.7681723982095718,2.889150994178635e-06,0.7681752873605661,-0.02618788741528988,0.24918995797634125,1.5817657709121704,0.3042861223220825
14,0.6590245351195335,0.7800601571798325,2.7680049811351638e-06,0.7800629251848136,0.0003445744514465332,0.1970718950033188,0.8261883854866028,0.2163466364145279
15,0.6589379593729973,0.7886659324169158,2.6646991273082675e-06,0.7886685971160432,0.04279254004359245,0.18568386137485504,0.8730361461639404,0.19583529233932495
16,0.6591662630438805,0.7933639138936996,2.8587176984729013e-06,0.7933667726113981,0.13055817782878876,0.1893898844718933,0.5285682082176208,0.19455158710479736
17,0.6582794278860092,0.7971681267023086,2.767070577647246e-06,0.7971708937728863,0.08920840173959732,0.1732856035232544,0.519463837146759,0.1840837299823761
18,0.6576185449957848,0.7960666388273239,2.6624798294960783e-06,0.7960693013071534,0.08355490118265152,0.14933520555496216,0.4816748797893524,0.14265412092208862
19,0.6566955983638764,0.8001823097467422,2.7473150339574206e-06,0.8001850570617761,0.02806183136999607,0.1393108069896698,0.6058511734008789,0.13385218381881714
20,0.6552674815058708,0.7997297137975693,2.598253314545218e-06,0.7997323120508838,-0.04519738629460335,0.16940845549106598,1.1199865341186523,0.1568508744239807
21,0.654869994521141,0.8062799721956253,2.5194197746714052e-06,0.8062824916154,0.03142436221241951,0.14076519012451172,0.6499100923538208,0.1322312355041504
22,0.6531896978616715,0.8050873130559921,2.5017393113557772e-06,0.8050898147953035,-0.00844388734549284,0.1239704117178917,0.8751373291015625,0.11716771125793457
23,0.6525452882051468,0.8109323590993881,2.41981322801621e-06,0.8109347789126161,0.021002402529120445,0.12417846918106079,0.7652908563613892,0.11912721395492554
24,0.6515855669975281,0.8111104458570481,2.471656819125201e-06,0.8111129175138672,-0.05730832740664482,0.13093076646327972,1.1375665664672852,0.12391487509012222
25,0.650803393125534,0.817743331193924,2.4006872877180284e-06,0.8177457318812117,0.08142326772212982,0.12141159176826477,0.587418258190155,0.1147562712430954
