Epoch,D Loss,G Loss,Temp Loss,Thermal Loss,Fuel Loss,Burnup Loss,GenMean,GenStd
0,0.7142617702484131,20000000002.5027,83.06672116631773,0.8149023597045268,0.19082767011013657,0.03767226216942401,0.025095202028751373,0.4248390197753906
1,0.6966365575790405,20000000002.40249,81.08865928508077,0.4755559474077933,0.21105784543703598,0.07773651900706122,0.05290716513991356,0.42080461978912354
2,0.6687971353530884,20000000002.28031,79.08500450104249,0.5026987117323838,0.2083288051906056,0.0664122655612877,0.06408023834228516,0.4261893928050995
3,0.6418877840042114,20000000002.186764,77.39067958827009,0.37332308960972543,0.23906700256083566,0.10766202722893678,0.08548242598772049,0.42934757471084595
4,0.6311532855033875,20000000002.119934,75.5760566021651,0.3790978774205743,0.11196888958911262,0.11477428636679007,0.09784112125635147,0.42389050126075745
5,0.614081859588623,20000000002.12026,73.46363001313377,0.17481474553242193,0.1792930675648849,0.12250000955234838,0.13247551023960114,0.42764344811439514
6,0.6124234199523926,20000000002.066204,71.40312284947146,0.11154876821261475,0.2239006922752391,0.09995418881862617,0.16698336601257324,0.4261525571346283
7,0.6011117100715637,20000000002.054565,70.91044379629115,0.10461130880557418,0.2635742165061849,0.10613659536211675,0.1843046247959137,0.42633214592933655
8,0.5918921828269958,20000000002.06123,68.77009266230725,0.04477492026092295,0.1188175707073282,0.13738859754883062,0.21771396696567535,0.4191453456878662
9,0.5761075019836426,20000000002.034782,67.21148686814719,0.10484256753190312,0.15413654667705431,0.150045459835487,0.25240814685821533,0.41864416003227234
10,0.5737948417663574,20000000002.032375,65.87945650915614,0.1640173226160933,0.2804682154134339,0.13894037126773617,0.28111469745635986,0.41320547461509705
11,0.5712310671806335,20000000002.06004,64.41879721385945,0.018401964752608736,0.20135517460084984,0.17282616214414426,0.31841859221458435,0.40510568022727966
12,0.5715429782867432,20000000002.02469,63.50804286541958,0.05866876047072771,0.2677805623291056,0.18561226059496014,0.3458617329597473,0.39527061581611633
13,0.5742740631103516,20000000002.056423,63.26906355824619,0.035287128624723024,0.1843864339271812,0.09629707117102294,0.36513587832450867,0.3904914855957031
14,0.5692224502563477,20000000002.055935,62.20154330208163,0.05144609665566957,0.2255773951897502,0.1493698170367441,0.39985135197639465,0.3740219175815582
15,0.5865365266799927,20000000001.978416,61.87450588268933,0.062486603721601516,0.15532773791507928,0.031128429897115138,0.43478715419769287,0.36166760325431824
16,0.6043128371238708,20000000001.983173,61.01286965330622,0.12643465801175363,0.10923188661717355,0.11369197709244508,0.4594854414463043,0.35947680473327637
17,0.6199824810028076,20000000001.97171,60.456748749014295,0.12627644881218644,0.14190399066168682,0.07834937898237249,0.5001882314682007,0.33260658383369446
18,0.6132793426513672,20000000001.936146,59.807737624993116,0.09882469358691082,0.07002997415952054,0.06709090243891169,0.5346231460571289,0.326871395111084
19,0.6434218883514404,20000000001.909176,60.12760923000069,0.08321843910556105,0.05521050161854862,0.08069777959882767,0.5469712615013123,0.3222303092479706
20,0.6728351712226868,20000000001.867252,58.96315764878391,0.05706756398411385,0.0,0.019120149016061152,0.5789535045623779,0.31509900093078613
21,0.6780052185058594,20000000001.851234,58.70406065697386,0.03168664549255652,0.0,0.0,0.5993627309799194,0.31225553154945374
22,0.6637764573097229,20000000001.819992,57.94887442225237,0.011593333231386577,0.0,0.01979568808534028,0.6289117336273193,0.29524460434913635
23,0.6693049073219299,20000000001.830578,57.84073924155071,0.019838783570749065,0.0,0.0,0.6387654542922974,0.29298368096351624
24,0.6850340366363525,20000000001.790405,57.63487221336262,0.007192529954861505,0.0,0.0,0.6584697365760803,0.2863737642765045
25,0.6893585920333862,20000000001.774105,57.01903077117038,0.005024438756830552,0.0,0.0,0.6723985075950623,0.2794937491416931
26,0.7043704390525818,20000000001.764202,56.78334943173347,0.0,0.0,0.0,0.6842618584632874,0.27596017718315125
27,0.69830322265625,20000000001.793983,56.614436284780155,0.0,0.0,0.01376853414332577,0.6838497519493103,0.27841946482658386
28,0.6883488893508911,20000000001.75056,56.07212719422738,0.0,0.0,0.0,0.6940284967422485,0.276041179895401
29,0.7044970393180847,20000000001.76935,55.84544460065737,0.0,0.0,0.0,0.6995183825492859,0.2755962312221527
30,0.7142621874809265,20000000001.76221,55.55881137260297,0.004550860744054374,0.0,0.0,0.7016558051109314,0.27910158038139343
31,0.6972928643226624,20000000001.76824,55.419159974471626,0.0,0.0,0.0,0.6985240578651428,0.28507936000823975
32,0.6900544166564941,20000000001.757942,55.253774510944304,0.005092841388674833,0.0,0.0,0.6952752470970154,0.29059433937072754
33,0.6903603672981262,20000000001.747448,55.09452151851202,0.0,0.0,0.0,0.6959753632545471,0.29091939330101013
34,0.6972141265869141,20000000001.73738,54.994617559376685,0.00030238707189926203,0.0,0.0,0.696858823299408,0.2968671917915344
