Enrichment (%),Flux (n/cm²/s),Burnup (MWd/kgU),Fuel Centerline Temp (K),Clad Surface Temp (K),Coolant Outlet Temp (K),Reactivity,HTC (W/m2K),FlowRate (kg/s),Swelling (%),FissionGasRelease (%)
83.66417893773075,6.439223244499282,4.380023718946337e-08,620.6888020616734,618.1901555023624,574.6002468443609,0.016037523768740868,10148.371120167187,11.822458707451268,0.5457687285583057,0.1918310780384503
78.5375601683218,6.661801171269977,4.378689124161437e-08,620.5025551797166,617.881618399098,574.5907578564529,0.015505384224054813,10204.300206898475,11.874883054473333,0.545535015296837,0.1910340896364282
64.28717544853869,6.873450427504057,4.296778711231551e-08,619.8101984286304,617.3277128035243,574.5739658171316,0.013973300919978063,11558.68729380312,25.5849030187163,0.5451130052214485,0.1898875492447778
71.98735968807425,6.749545013639897,4.3227660094641816e-08,619.9629053730073,617.0610549256323,574.5765247739705,0.014869904085428355,11920.38728235966,29.133152573196682,0.5453183405316934,0.19074991388008886
66.18491914734588,6.898268180343752,4.361602042837918e-08,620.0758174957714,617.5779837277096,574.5778083793102,0.014299946475788477,11610.598626944811,26.33427012619982,0.5454393466063892,0.19038977246903782
71.73747115928795,6.799815258885161,4.327085522064427e-08,619.8513296287534,617.488696246585,574.577725774341,0.014990149317552139,10337.624174359227,13.505102032774154,0.545227291319663,0.19054715011319068
83.73040016541131,6.431439294067423,4.31300998843716e-08,619.9198328656402,617.4173912072974,574.5949163277243,0.015977581672661938,10119.996744091492,11.67130503177393,0.5451131305639701,0.19045219708810818
70.85194883364672,6.803010533289663,4.331765632435582e-08,620.0718103371321,617.5699988052837,574.5875256125361,0.014724990112902455,10351.29170622812,13.975839480660703,0.5454236282498481,0.1906802234380721
80.17144588831479,6.604465224542619,4.325688547695485e-08,620.1888205555347,617.8753243574108,574.5873418314562,0.015702423901894125,10279.388420799074,13.334003467851236,0.5454242549624563,0.19132114827076463
70.49917654936884,6.813940979546057,4.276619161799294e-08,619.9346219893603,616.9946467068909,574.5656784952265,0.014865432667698766,11918.054222037516,29.04762166943332,0.5447244595776771,0.18971796485634268
66.21847441211544,6.816719524746904,4.301355585215081e-08,620.0211188907438,617.1996828304327,574.5743875617609,0.014168847635310046,11088.382215042524,20.920652672775933,0.5452083120359065,0.1904961114470513
78.30167285034406,6.537119329304049,4.2869459013013664e-08,619.8777270581124,617.382114646756,574.5715367251556,0.0155354431666515,11880.624602977345,28.70996348515554,0.5451163712746498,0.19094886885165288
63.9348848694342,6.753486691947549,4.3171941628755365e-08,620.026343814416,617.6063471298332,574.5764752509268,0.013919503973112084,11566.361294595441,25.6233488836846,0.545087190726957,0.1901809194815735
65.52954602530944,6.6470694461071815,4.2872470378313474e-08,619.3707058420997,616.9561604656553,574.5546214772943,0.014073511670903602,11628.821607583874,26.262276615735956,0.5446264659856187,0.189357479764184
68.86539140518128,6.669881083002689,4.306686668496897e-08,619.636498875674,617.2428825887714,574.5619434326653,0.014411235426826768,11471.729432486742,24.885520041436912,0.545000728646887,0.18993826040303807
69.35360224512942,6.71024019822645,4.344067178242986e-08,619.646594859478,617.4943244104593,574.5695064800576,0.014570012836057645,10831.117648614429,18.148507081477632,0.5453305270594399,0.19055662358184033
77.23493939063498,6.65849607270471,4.331824546487177e-08,620.1036659633353,617.6488978443485,574.5784891880332,0.015324054515601324,11755.909315710673,27.427365131222054,0.5453315176696912,0.1906097607243899
63.97077984504587,6.697983409361955,4.2320509553621374e-08,619.1572865893993,616.6149205318233,574.5442292929097,0.013860128585283096,11175.040011534707,21.990869162976942,0.5441330693008646,0.18857722661045082
78.58746164820548,6.5719899613663,4.3531129475148624e-08,620.5072087818069,617.7520490511748,574.5876585393077,0.01551725870403722,10008.661122153711,10.63880433499172,0.5456248939714478,0.19076971395519654
67.71978004669776,6.770323356599673,4.357247327723871e-08,620.2296552219647,617.6932778524063,574.5876196663809,0.014429190815807503,11390.441385533199,23.98638077315458,0.545409901222078,0.19103656009709613
67.04042753526139,6.725033943404172,4.3007688158529075e-08,619.5284558361504,617.2867706702425,574.5758257934855,0.014320863886448196,11697.775223781,27.050699049531026,0.544746970690228,0.19023107266344727
69.16071373070479,6.874358868048749,4.341822972389029e-08,619.7332360739255,617.4475146965616,574.5676531600268,0.014416737675907313,10834.736624825802,18.48589551389628,0.5450077983694366,0.19031024061742086
74.76672972342813,6.727389652441955,4.381665286947443e-08,620.5902421696551,617.90455377478,574.5965810741227,0.015133450810892336,10867.48500737243,18.824835464150826,0.5459853103273848,0.19189224518899736
63.39774654687602,6.9265704186259285,4.305405515870256e-08,619.798070200583,617.2737916642193,574.5674317041585,0.014002311601708197,10968.760027268161,20.082593525456836,0.5449431842995451,0.19028484460521922
