Enrichment (%),Flux,Burnup
73.64164801628478,6.751360619067363,4.361767948951492e-08
-0.6008250873377239,11.665667639498594,1.5464566999073006e-08
23.336719864024587,7.7971462878498645,3.873573616343725e-08
22.18381918970818,7.820367998975862,3.8743550813032054e-08
41.107951750817286,7.278843875525759,4.0585390090174235e-08
65.17667566808406,6.850731329012863,4.2799328051905104e-08
29.835867080474078,7.554768185640752,3.957769620509045e-08
62.61239289300923,6.881948673551324,4.252438522041084e-08
83.78659582256606,6.639713917788064,4.437286805974406e-08
67.05827448859674,6.840141579342829,4.282848683321751e-08
