trajectory_id,step,x,y,z
0,0,0.0,0.0,0.0
0,1,-0.63,0.5500541,0.075425975
0,2,0.43374002,-0.63,0.3819017
0,3,-0.09045645,0.37936476,0.7188221
0,4,-0.63,0.28656247,0.91712034
0,5,0.20243235,-0.63,1.2230638
0,6,0.072896555,0.45418727,1.5849596
0,7,-0.2508684,-0.38557106,1.9826369
0,8,-0.06995887,0.39383468,2.5636377
0,9,-0.4587252,-0.034222495,2.706521
0,10,0.43842775,0.13921608,3.1621482
0,11,-0.35813642,-0.1781525,3.595726
0,12,-0.4914906,-0.63,3.7465503
0,13,0.3407973,0.20942111,4.007033
0,14,-0.39962706,-0.017268943,4.26508
0,15,0.12919456,-0.44148472,4.458703
0,16,0.13257718,0.36677417,4.6540203
0,17,-0.63,0.041327164,3.5296786
0,18,0.5521236,-0.63,1.561427
0,19,-0.0630077,-0.39500636,0.7153144
0,20,0.38017726,-0.08697847,0.28722164
0,21,0.53136015,-0.019787854,0.26277614
0,22,-0.44463634,-0.11789194,3.384036
0,23,-0.63,0.14977089,3.7162998
0,24,-0.13279799,-0.36669427,3.374717
0,25,-0.17121883,-0.42694744,3.505807
0,26,0.38441312,-0.25263914,3.6931586
0,27,0.4040268,0.21991438,3.4132814
0,28,-0.40181914,0.22392268,3.3282356
0,29,0.0633784,0.39494705,3.0617483
0,30,0.4380111,-0.63,2.713714
0,31,-0.3206759,0.32979837,2.4175425
0,32,-0.33386728,0.22030124,2.365084
0,33,0.021595117,-0.63,2.374813
0,34,-0.29323968,0.35441568,1.5834184
0,35,-0.51807487,-0.49735135,0.4555657
0,36,0.3694763,0.12484902,0.5179369
0,37,0.60439664,0.63,-0.1154797
0,38,0.15133576,-0.63,-1.6120402
0,39,-0.042020135,0.39778677,-2.6641424
0,40,0.3603233,0.31842968,-2.7377968
0,41,0.2864545,-0.27918422,-3.5130427
0,42,-0.31777012,-0.3325991,-3.2215047
0,43,0.6010375,-0.19237706,-2.5688543
0,44,0.13384752,0.3663125,-5.1214705
0,45,0.12744252,0.44199365,-5.254124
0,46,0.62379116,-0.30753085,-6.0037003
0,47,0.0015728029,0.3999969,4.5812554
0,48,-0.5428979,0.09079241,3.6747048
0,49,-0.2300499,-0.4336948,1.4161037
1,0,-0.25885782,0.2917064,0.030991433
1,1,-0.63,0.5500541,0.075425975
1,2,0.17712963,-0.34745517,0.28758982
1,3,-0.09045645,0.37936476,0.7188221
1,4,-0.3893989,0.021644922,1.0055484
1,5,0.4590871,0.028966242,1.4430232
1,6,0.072896555,0.45418727,1.5849596
1,7,-0.2508684,-0.38557106,1.9826369
1,8,-0.06995887,0.39383468,2.5636377
1,9,-0.26018295,-0.63,2.905388
1,10,0.38225028,0.07736102,3.1415014
1,11,-0.3509059,-0.17019123,3.5930686
1,12,-0.26243424,-0.37779394,3.8307352
1,13,0.63,0.44358665,4.063619
1,14,-0.39962706,-0.017268943,4.26508
1,15,0.63,-0.035985835,4.5566926
1,16,0.11091326,0.3843153,4.658259
1,17,-0.34433132,0.2035582,4.0053205
1,18,0.5521236,-0.63,1.561427
1,19,-0.0630077,-0.39500636,0.7153144
1,20,-0.19020332,-0.34047422,0.37944937
1,21,0.31805003,0.4898985,1.0312482
1,22,-0.44463634,-0.11789194,3.384036
1,23,-0.24453588,0.43008786,3.7471051
1,24,-0.08101507,-0.24222174,3.3101554
1,25,-0.17743576,-0.42738736,3.501164
1,26,0.34638938,-0.20003596,3.671336
1,27,0.3238746,0.21726769,3.4694371
1,28,0.3218037,0.22032335,3.404604
1,29,0.0633784,0.39494705,3.0617483
1,30,0.2468446,-0.38815942,2.6390874
1,31,-0.28324258,0.28244227,2.4321554
1,32,-0.33386728,0.22030124,2.365084
1,33,0.020028014,-0.4595638,2.4498649
1,34,-0.05647616,-0.38588917,2.1785667
1,35,-0.52916867,-0.36448157,0.45925355
1,36,0.16025479,0.15724428,0.5501145
1,37,0.4333487,0.1543014,-0.68048894
1,38,0.23586027,-0.39493027,-1.3328369
1,39,-0.16060045,0.23752064,-2.6424346
1,40,0.40575796,0.21670365,-2.8385675
1,41,0.19873136,-0.49357423,-3.828744
1,42,-0.22413974,-0.3191573,-3.1589413
1,43,0.63,-0.19653499,-2.588207
1,44,0.48681247,-0.40284812,-4.045062
1,45,0.08894616,0.46415892,-5.2584023
1,46,0.56143814,-0.5068077,-6.0267415
1,47,-0.016657172,0.38964412,4.5509024
1,48,-0.5428979,0.09079241,3.6747048
1,49,-0.072564185,-0.63,1.441869
2,0,0.0,0.0,0.0
2,1,-0.37646154,0.26434204,0.10578056
2,2,0.17712963,-0.34745517,0.28758982
2,3,0.37657696,-0.13486956,0.54717356
2,4,-0.4511763,0.08966587,0.98284334
2,5,0.63,-0.15922005,1.3802077
2,6,0.14783043,0.3716802,1.5574192
2,7,0.4478283,-0.10511817,2.2394288
2,8,-0.38748527,0.04421736,2.6803381
2,9,-0.048602656,-0.39703625,2.9831502
2,10,0.63,0.35014966,3.2325568
2,11,-0.35813642,-0.1781525,3.595726
2,12,-0.26243424,-0.37779394,3.8307352
2,13,0.3407973,0.20942111,4.007033
2,14,-0.39962706,-0.017268943,4.26508
2,15,0.12919456,-0.44148472,4.458703
2,16,0.13257718,0.36677417,4.6540203
2,17,-0.45642397,-0.057246543,3.240672
2,18,0.104433894,-0.3757573,2.3068364
2,19,0.25174776,-0.3849975,0.8322351
2,20,-0.2669792,-0.37459594,0.39186364
2,21,0.3334614,0.50590044,0.3590869
2,22,-0.44463634,-0.11789194,3.384036
2,23,-0.4832842,0.13745251,3.741391
2,24,-0.08101507,-0.24222174,3.3101554
2,25,-0.19153008,-0.50787085,3.4479427
2,26,0.63,-0.59239143,3.834106
2,27,0.63,0.21879038,3.43713
2,28,-0.3316847,0.22357383,3.3356373
2,29,-0.10947672,0.63,3.1422522
2,30,0.50800127,-0.541457,2.7410362
2,31,-0.28324258,0.28244227,2.4321554
2,32,-0.58062077,0.47641394,2.277514
2,33,0.020028014,-0.4595638,2.4498649
2,34,-0.2733012,0.29207268,1.6335373
2,35,-0.62268907,-0.37126407,0.4341091
2,36,-0.3550513,-0.18422423,0.47516358
2,37,0.4333487,0.1543014,-0.68048894
2,38,0.15133576,-0.63,-1.6120402
2,39,-0.16060045,0.23752064,-2.6424346
2,40,0.4191674,0.27244025,-2.7627583
2,41,0.2864545,-0.27918422,-3.5130427
2,42,-0.22413974,-0.3191573,-3.1589413
2,43,0.26723102,-0.49178693,-2.8370578
2,44,0.37079656,-0.15003303,-4.398866
2,45,0.08894616,0.46415892,-5.2584023
2,46,0.62379116,-0.30753085,-6.0037003
2,47,-0.32610133,0.213911,4.0356736
2,48,-0.6253495,0.054415032,3.4019325
2,49,-0.2300499,-0.4336948,1.4161037
3,0,0.0,0.0,0.0
3,1,-0.335359,0.21802369,0.11070151
3,2,0.43374002,-0.63,0.3819017
3,3,0.37657696,-0.13486956,0.54717356
3,4,-0.3893989,0.021644922,1.0055484
3,5,0.63,-0.15922005,1.3802077
3,6,-0.08677853,0.63,1.6436449
3,7,-0.028875299,-0.63,2.064226
3,8,-0.08120478,0.3814522,2.567771
3,9,-0.048602656,-0.39703625,2.9831502
3,10,0.3905382,0.08648655,3.1445475
3,11,0.13572486,0.36562106,3.4142175
3,12,-0.21489705,-0.3254524,3.8482068
3,13,0.38777056,0.24745505,4.016224
3,14,-0.45570976,-0.06267873,4.2760534
3,15,0.4049523,-0.21820548,4.5126586
3,16,0.13257718,0.36677417,4.6540203
3,17,-0.34433132,0.2035582,4.0053205
3,18,0.18465069,-0.4213124,2.1732743
3,19,-0.0630077,-0.39500636,0.7153144
3,20,-0.20154375,-0.34551427,0.38128304
3,21,0.31805003,0.4898985,1.0312482
3,22,-0.5527527,-0.63,3.1878662
3,23,-0.42874423,0.1666685,3.6818812
3,24,-0.08101507,-0.24222174,3.3101554
3,25,0.22963354,-0.39858302,3.8051717
3,26,0.34638938,-0.20003596,3.671336
3,27,0.4052391,0.21767241,3.4608502
3,28,-0.31959602,0.22351371,3.336913
3,29,0.07193767,0.38330793,3.057762
3,30,0.63,-0.3755599,2.7978547
3,31,-0.27699688,0.27454096,2.4345934
3,32,-0.36495203,0.28001788,2.3576372
3,33,-0.01105674,-0.39984715,2.4424179
3,34,-0.05647616,-0.38588917,2.1785667
3,35,-0.51807487,-0.49735135,0.4555657
3,36,-0.3550513,-0.18422423,0.47516358
3,37,0.46845454,0.10952351,0.50271434
3,38,0.23586027,-0.39493027,-1.3328369
3,39,0.06662502,-0.39441237,-1.8918585
3,40,0.3603233,0.31842968,-2.7377968
3,41,0.2864545,-0.27918422,-3.5130427
3,42,0.30487463,-0.24321075,-2.805455
3,43,0.6010375,-0.19237706,-2.5688543
3,44,0.37079656,-0.15003303,-4.398866
3,45,0.12744252,0.44199365,-5.254124
3,46,0.62379116,-0.30753085,-6.0037003
3,47,-0.016657172,0.38964412,4.5509024
3,48,-0.5428979,0.09079241,3.6747048
3,49,-0.072564185,-0.63,1.441869
4,0,0.0,0.0,0.0
4,1,-0.5590567,0.63,0.06693237
4,2,0.22563341,-0.40086102,0.30541638
4,3,-0.09810231,0.38778335,0.7216322
4,4,-0.63,0.28656247,0.91712034
4,5,0.04594713,-0.45769954,1.165551
4,6,0.072896555,0.45418727,1.5849596
4,7,0.14761625,-0.43567124,2.129092
4,8,0.14452913,0.63,2.484807
4,9,-0.63,-0.22280724,2.7694695
4,10,0.38225028,0.07736102,3.1415014
4,11,0.13572486,0.36562106,3.4142175
4,12,-0.21489705,-0.3254524,3.8482068
4,13,0.63,0.44358665,4.063619
4,14,0.09028115,0.37940654,4.169223
4,15,0.12919456,-0.44148472,4.458703
4,16,0.0015728029,0.3999969,4.5812554
4,17,-0.63,0.041327164,3.5296786
4,18,0.104433894,-0.3757573,2.3068364
4,19,-0.0630077,-0.39500636,0.7153144
4,20,-0.20154375,-0.34551427,0.38128304
4,21,0.31805003,0.4898985,1.0312482
4,22,-0.44463634,-0.11789194,3.384036
4,23,-0.4832842,0.13745251,3.741391
4,24,-0.036561616,-0.24539892,3.3810928
4,25,0.22963354,-0.39858302,3.8051717
4,26,0.63,-0.59239143,3.834106
4,27,0.63,0.21879038,3.43713
4,28,0.3218037,0.22032335,3.404604
4,29,0.07193767,0.38330793,3.057762
4,30,0.50800127,-0.541457,2.7410362
4,31,0.20316555,-0.332902,2.6220362
4,32,-0.33386728,0.22030124,2.365084
4,33,0.021595117,-0.63,2.374813
4,34,-0.2733012,0.29207268,1.6335373
4,35,-0.51807487,-0.49735135,0.4555657
4,36,-0.3550513,-0.18422423,0.47516358
4,37,0.63,0.55879486,-0.03090607
4,38,0.2726145,-0.29271373,-1.2114296
4,39,-0.16060045,0.23752064,-2.6424346
4,40,0.38209337,0.11834123,-2.972354
4,41,0.2627899,-0.37754664,-3.6468291
4,42,-0.23838785,-0.32120278,-3.1684618
4,43,0.26723102,-0.49178693,-2.8370578
4,44,0.37079656,-0.15003303,-4.398866
4,45,0.31827205,0.3321188,-5.2329164
4,46,0.63,-0.48082975,-6.129058
4,47,-0.32610133,0.213911,4.0356736
4,48,-0.5428979,0.09079241,3.6747048
4,49,-0.072564185,-0.63,1.441869
5,0,0.0,0.0,0.0
5,1,-0.5590567,0.63,0.06693237
5,2,0.18409118,-0.3551203,0.29014838
5,3,0.36893108,-0.12645097,0.5499836
5,4,-0.39872488,0.031913448,1.0021209
5,5,0.63,-0.15922005,1.3802077
5,6,-0.08677853,0.63,1.6436449
5,7,-0.2508684,-0.38557106,1.9826369
5,8,-0.009964822,0.45989206,2.5415883
5,9,-0.048602656,-0.39703625,2.9831502
5,10,0.3905382,0.08648655,3.1445475
5,11,-0.3509059,-0.17019123,3.5930686
5,12,-0.26243424,-0.37779394,3.8307352
5,13,0.39977294,0.63,4.1086664
5,14,-0.39962706,-0.017268943,4.26508
5,15,0.4458808,0.11309428,4.592718
5,16,0.11091326,0.3843153,4.658259
5,17,-0.43392286,0.15267923,3.8561497
5,18,0.104433894,-0.3757573,2.3068364
5,19,0.25174776,-0.3849975,0.8322351
5,20,-0.2669792,-0.37459594,0.39186364
5,21,0.3334614,0.50590044,0.3590869
5,22,-0.35903656,0.28756344,3.5393512
5,23,-0.63,0.14977089,3.7162998
5,24,-0.13279799,-0.36669427,3.374717
5,25,-0.17121883,-0.42694744,3.505807
5,26,0.34638938,-0.20003596,3.671336
5,27,0.63,0.21879038,3.43713
5,28,-0.31959602,0.22351371,3.336913
5,29,0.07193767,0.38330793,3.057762
5,30,0.63,-0.3755599,2.7978547
5,31,-0.3206759,0.32979837,2.4175425
5,32,-0.36495203,0.28001788,2.3576372
5,33,-0.01105674,-0.39984715,2.4424179
5,34,-0.29323968,0.35441568,1.5834184
5,35,-0.51807487,-0.49735135,0.4555657
5,36,-0.3550513,-0.18422423,0.47516358
5,37,0.63,0.55879486,-0.03090607
5,38,0.2726145,-0.29271373,-1.2114296
5,39,-0.16060045,0.23752064,-2.6424346
5,40,0.12979358,0.63,-2.6955953
5,41,0.2864545,-0.27918422,-3.5130427
5,42,0.30487463,-0.24321075,-2.805455
5,43,0.26723102,-0.49178693,-2.8370578
5,44,0.40339538,-0.22107048,-4.2994523
5,45,0.31827205,0.3321188,-5.2329164
5,46,0.63,-0.48082975,-6.129058
5,47,0.054455373,0.4300289,4.669306
5,48,-0.5428979,0.09079241,3.6747048
5,49,-0.63,0.015003892,2.4671142
6,0,0.0,0.0,0.0
6,1,-0.63,0.5500541,0.075425975
6,2,0.43374002,-0.63,0.3819017
6,3,0.36893108,-0.12645097,0.5499836
6,4,-0.63,0.28656247,0.91712034
6,5,0.20243235,-0.63,1.2230638
6,6,0.36792928,0.12933697,1.4765264
6,7,0.4478283,-0.10511817,2.2394288
6,8,-0.009964822,0.45989206,2.5415883
6,9,-0.09649221,-0.44976577,2.9655495
6,10,0.3905382,0.08648655,3.1445475
6,11,-0.3509059,-0.17019123,3.5930686
6,12,-0.26243424,-0.37779394,3.8307352
6,13,0.3407973,0.20942111,4.007033
6,14,0.09028115,0.37940654,4.169223
6,15,0.63,-0.035985835,4.5566926
6,16,0.13257718,0.36677417,4.6540203
6,17,-0.63,0.041327164,3.5296786
6,18,0.5521236,-0.63,1.561427
6,19,-0.0630077,-0.39500636,0.7153144
6,20,-0.37193623,-0.42124227,0.40883467
6,21,0.31805003,0.4898985,1.0312482
6,22,-0.35903656,0.28756344,3.5393512
6,23,-0.63,0.14977089,3.7162998
6,24,-0.13664314,-0.37593704,3.3795109
6,25,-0.17743576,-0.42738736,3.501164
6,26,0.34638938,-0.20003596,3.671336
6,27,0.4052391,0.21767241,3.4608502
6,28,-0.31959602,0.22351371,3.336913
6,29,0.38732862,-0.045568984,2.9108744
6,30,0.44352904,-0.121991776,2.8847
6,31,-0.3206759,0.32979837,2.4175425
6,32,-0.58062077,0.47641394,2.277514
6,33,0.05476277,-0.52629244,2.458186
6,34,-0.26992032,0.28150138,1.6420358
6,35,-0.63,-0.37080553,0.435809
6,36,0.3694763,0.12484902,0.5179369
6,37,0.60439664,0.63,-0.1154797
6,38,0.23586027,-0.39493027,-1.3328369
6,39,-0.16060045,0.23752064,-2.6424346
6,40,0.40575796,0.21670365,-2.8385675
6,41,0.2627899,-0.37754664,-3.6468291
6,42,-0.22413974,-0.3191573,-3.1589413
6,43,0.26723102,-0.49178693,-2.8370578
6,44,0.13384752,0.3663125,-5.1214705
6,45,0.12744252,0.44199365,-5.254124
6,46,0.63,-0.48082975,-6.129058
6,47,-0.32610133,0.213911,4.0356736
6,48,-0.63,0.056258813,3.415758
6,49,-0.072564185,-0.63,1.441869
7,0,-0.25885782,0.2917064,0.030991433
7,1,-0.63,0.5500541,0.075425975
7,2,0.18409118,-0.3551203,0.29014838
7,3,-0.09045645,0.37936476,0.7188221
7,4,-0.3893989,0.021644922,1.0055484
7,5,0.4590871,0.028966242,1.4430232
7,6,0.14783043,0.3716802,1.5574192
7,7,-0.40786973,-0.21270233,1.9249344
7,8,-0.009964822,0.45989206,2.5415883
7,9,-0.09649221,-0.44976577,2.9655495
7,10,0.63,0.35014966,3.2325568
7,11,-0.40101326,-0.22536273,3.6114845
7,12,-0.26243424,-0.37779394,3.8307352
7,13,0.63,0.44358665,4.063619
7,14,0.09028115,0.37940654,4.169223
7,15,0.63,-0.035985835,4.5566926
7,16,0.11091326,0.3843153,4.658259
7,17,-0.34433132,0.2035582,4.0053205
7,18,0.5521236,-0.63,1.561427
7,19,0.08797657,-0.39020523,0.7713998
7,20,-0.19020332,-0.34047422,0.37944937
7,21,0.53136015,-0.019787854,0.26277614
